,Start Time,Duration,Error Type
0,2019-06-12 00:00:51.100,0.1,L0P1
1,2019-06-12 00:00:51.900,0.2,L0P1
2,2019-06-12 00:01:57.000,0.5,L0P1
3,2019-06-12 00:02:10.100,0.1,L0P1
4,2019-06-12 00:02:24.400,0.5,L0P1
5,2019-06-12 00:03:19.200,0.2,L0P1
6,2019-06-12 00:07:49.600,0.1,L1P0
7,2019-06-12 00:07:50.700,0.2,L0P1
8,2019-06-12 00:18:08.400,0.2,L1P0
9,2019-06-12 00:18:27.000,0.7,L0P1
10,2019-06-12 00:23:56.400,0.2,L0P1
11,2019-06-12 00:33:41.000,0.1,L1P0
12,2019-06-12 00:33:46.800,0.7,L0P1
13,2019-06-12 00:33:49.200,0.1,L1P0
14,2019-06-12 00:33:50.900,0.2,L0P1
15,2019-06-12 00:45:10.600,0.1,L0P1
16,2019-06-12 00:45:11.600,0.3,L0P1
17,2019-06-12 00:47:37.200,0.1,L1P0
18,2019-06-12 00:47:38.200,0.1,L0P1
19,2019-06-12 00:51:06.800,0.1,L0P1
20,2019-06-12 00:54:16.400,0.2,L0P1
21,2019-06-12 01:10:45.300,0.1,L1P0
22,2019-06-12 01:10:46.200,0.1,L0P1
23,2019-06-12 01:35:28.700,0.3,L0P1
24,2019-06-12 01:49:06.400,28.7,L0P1
25,2019-06-12 01:56:48.000,0.1,L0P1
26,2019-06-12 01:56:48.800,0.2,L0P1
27,2019-06-12 02:02:57.200,0.1,L1P0
28,2019-06-12 02:02:58.100,0.3,L0P1
29,2019-06-12 02:03:00.900,0.3,L0P1
30,2019-06-12 02:05:32.300,0.1,L1P0
31,2019-06-12 02:05:33.200,0.1,L0P1
32,2019-06-12 02:35:40.800,0.1,L0P1
33,2019-06-12 02:35:42.200,0.2,L0P1
34,2019-06-12 02:36:32.000,0.1,L1P0
35,2019-06-12 02:36:32.600,0.2,L0P1
36,2019-06-12 02:43:02.900,0.3,L0P1
37,2019-06-12 02:46:07.700,0.1,L1P0
38,2019-06-12 02:46:08.400,0.2,L0P1
39,2019-06-12 02:54:02.900,0.1,L0P1
40,2019-06-12 02:56:39.100,0.1,L1P0
41,2019-06-12 02:56:39.900,0.2,L0P1
42,2019-06-12 03:01:59.100,0.1,L0P1
43,2019-06-12 03:02:00.300,0.1,L0P1
44,2019-06-12 03:08:36.400,0.1,L0P1
45,2019-06-12 03:30:17.100,0.1,L0P1
46,2019-06-12 03:30:17.800,0.2,L0P1
47,2019-06-12 03:35:02.200,0.1,L0P1
48,2019-06-12 03:57:45.900,0.2,L0P1
49,2019-06-12 04:01:47.400,0.2,L0P1
50,2019-06-12 04:16:45.600,0.1,L0P1
51,2019-06-12 04:18:16.700,0.2,L0P1
52,2019-06-12 04:36:11.600,0.4,L0P1
53,2019-06-12 04:36:24.700,0.1,L0P1
54,2019-06-12 04:36:25.600,0.1,L1P0
55,2019-06-12 04:36:26.400,0.2,L0P1
