,Start Time,Duration,Error Type,Light
0,2019-07-03 00:15:04.600,0.3,L0P1,Not Green
1,2019-07-03 00:46:19.200,0.1,L1P0,Not Green
2,2019-07-03 00:49:36.600,0.3,L0P1,Not Green
3,2019-07-03 01:08:15.300,0.3,L0P1,Not Green
4,2019-07-03 01:08:15.700,0.1,L0P1,Not Green
5,2019-07-03 01:09:16.300,0.1,L1P0,During Green
6,2019-07-03 01:09:17.400,0.1,L0P1,Not Green
7,2019-07-03 01:33:01.900,0.1,L0P1,Not Green
8,2019-07-03 02:26:10.000,0.1,L0P1,Not Green
9,2019-07-03 02:49:19.900,0.1,L1P0,During Green
10,2019-07-03 03:00:45.800,0.1,L0P1,Not Green
11,2019-07-03 03:54:42.100,0.1,L0P1,Not Green
12,2019-07-03 04:13:16.600,0.1,L1P0,Not Green
13,2019-07-03 04:15:01.500,0.1,L1P0,Not Green
14,2019-07-03 04:16:27.200,0.1,L1P0,Not Green
15,2019-07-03 04:16:28.200,0.1,L0P1,Not Green
16,2019-07-03 04:26:28.000,0.1,L1P0,During Green
17,2019-07-03 04:26:29.300,0.1,L0P1,Not Green
18,2019-07-03 04:41:00.400,0.2,L0P1,During Green
19,2019-07-03 04:46:34.700,0.1,L0P1,During Green
20,2019-07-03 04:48:03.200,0.1,L0P1,Not Green
21,2019-07-03 04:55:21.800,0.2,L0P1,During Green
22,2019-07-03 04:55:23.200,0.7,L0P1,Not Green
23,2019-07-03 05:21:53.900,0.1,L1P0,Not Green
24,2019-07-03 05:21:55.000,0.1,L0P1,Not Green
25,2019-07-03 05:22:42.600,0.1,L0P1,Not Green
26,2019-07-03 05:25:50.900,0.1,L0P1,Not Green
27,2019-07-03 05:31:53.500,0.1,L0P1,During Green
28,2019-07-03 05:32:19.900,0.2,L1P0,During Green
29,2019-07-03 05:48:56.600,0.2,L1P0,Not Green
30,2019-07-03 05:49:06.700,0.5,L0P1,During Green
31,2019-07-03 05:53:29.800,0.1,L0P1,Not Green
32,2019-07-03 05:53:30.300,0.1,L1P0,Not Green
33,2019-07-03 05:54:57.000,0.1,L0P1,Not Green
34,2019-07-03 05:54:59.400,0.2,L1P0,Not Green
35,2019-07-03 05:55:31.300,0.1,L1P0,Not Green
36,2019-07-03 05:59:31.900,0.1,L0P1,Not Green
37,2019-07-03 05:59:38.600,0.3,L0P1,Not Green
38,2019-07-03 05:59:42.300,0.1,L1P0,Not Green
39,2019-07-03 06:00:11.800,0.1,L1P0,Not Green
40,2019-07-03 06:00:33.000,0.1,L0P1,Not Green
41,2019-07-03 06:02:59.800,0.1,L0P1,Not Green
42,2019-07-03 06:03:02.200,0.1,L0P1,Not Green
43,2019-07-03 06:09:48.400,0.1,L0P1,Not Green
44,2019-07-03 06:11:24.700,0.1,L1P0,Not Green
45,2019-07-03 06:16:25.000,0.2,L0P1,Not Green
46,2019-07-03 06:18:25.600,0.1,L1P0,Not Green
47,2019-07-03 06:18:26.600,0.1,L0P1,Not Green
48,2019-07-03 06:19:24.600,0.1,L0P1,Not Green
49,2019-07-03 06:21:47.900,0.1,L1P0,During Green
50,2019-07-03 06:22:05.300,0.1,L1P0,Not Green
51,2019-07-03 06:26:15.600,0.3,L0P1,During Green
52,2019-07-03 06:26:41.300,0.1,L1P0,Not Green
53,2019-07-03 06:27:51.600,0.1,L0P1,During Green
54,2019-07-03 06:33:45.300,0.2,L1P0,Not Green
55,2019-07-03 06:36:17.600,0.1,L0P1,Not Green
56,2019-07-03 06:38:05.900,0.1,L1P0,Not Green
57,2019-07-03 06:38:06.900,0.1,L0P1,Not Green
58,2019-07-03 06:38:09.800,0.1,L1P0,Not Green
59,2019-07-03 06:38:10.800,0.1,L0P1,Not Green
60,2019-07-03 06:38:14.000,0.1,L0P1,Not Green
61,2019-07-03 06:38:14.400,0.2,L0P1,Not Green
62,2019-07-03 06:42:43.000,28.6,L0P1,Not Green
63,2019-07-03 06:44:02.600,0.1,L1P0,Not Green
64,2019-07-03 06:44:34.400,0.2,L0P1,Not Green
65,2019-07-03 06:45:17.700,0.3,L0P1,Not Green
66,2019-07-03 06:45:21.300,0.1,L1P0,Not Green
67,2019-07-03 06:45:22.800,0.1,L0P1,Not Green
68,2019-07-03 06:50:01.600,0.1,L1P0,Not Green
69,2019-07-03 06:50:02.700,0.1,L0P1,Not Green
70,2019-07-03 06:50:34.300,0.2,L0P1,Not Green
71,2019-07-03 06:52:41.000,0.3,L0P1,During Green
72,2019-07-03 06:52:44.600,0.3,L0P1,Not Green
73,2019-07-03 06:55:23.700,0.1,L1P0,Not Green
74,2019-07-03 06:58:29.700,0.1,L1P0,During Green
75,2019-07-03 07:00:35.800,0.1,L0P1,Not Green
76,2019-07-03 07:04:08.700,0.1,L1P0,Not Green
77,2019-07-03 07:08:34.600,0.1,L0P1,Not Green
78,2019-07-03 07:09:38.500,0.4,L0P1,During Green
79,2019-07-03 07:11:14.800,0.1,L0P1,Not Green
80,2019-07-03 07:12:51.600,0.1,L0P1,During Green
81,2019-07-03 07:15:56.600,0.2,L0P1,Not Green
82,2019-07-03 07:17:04.800,0.2,L1P0,During Green
83,2019-07-03 07:19:22.900,0.1,L1P0,Not Green
84,2019-07-03 07:19:52.000,0.1,L1P0,Not Green
85,2019-07-03 07:20:19.100,0.1,L1P0,Not Green
86,2019-07-03 07:21:54.500,0.1,L1P0,Not Green
87,2019-07-03 07:27:39.600,0.1,L0P1,During Green
88,2019-07-03 07:27:58.800,0.1,L1P0,During Green
89,2019-07-03 07:28:50.300,0.1,L1P0,Not Green
90,2019-07-03 07:28:52.300,0.1,L0P1,Not Green
91,2019-07-03 07:29:34.700,0.1,L0P1,Not Green
92,2019-07-03 07:32:58.400,0.1,L1P0,Not Green
93,2019-07-03 07:32:59.600,0.1,L1P0,Not Green
94,2019-07-03 07:34:08.500,0.3,L1P0,During Green
95,2019-07-03 07:34:30.500,0.1,L1P0,Not Green
96,2019-07-03 07:34:46.800,0.2,L1P0,Not Green
97,2019-07-03 07:35:22.600,15.0,L0P1,Not Green
98,2019-07-03 07:35:39.300,1.2,L0P1,Not Green
99,2019-07-03 07:35:57.500,0.1,L1P0,Not Green
100,2019-07-03 07:36:46.200,0.1,L1P0,Not Green
101,2019-07-03 07:40:18.600,0.3,L0P1,Not Green
102,2019-07-03 07:40:20.900,0.2,L1P0,Not Green
103,2019-07-03 07:40:22.500,0.1,L1P0,Not Green
104,2019-07-03 07:41:09.000,0.2,L1P0,Not Green
105,2019-07-03 07:41:58.400,0.2,L1P0,Not Green
106,2019-07-03 07:43:08.300,0.1,L1P0,Not Green
107,2019-07-03 07:43:25.400,0.2,L1P0,During Green
108,2019-07-03 07:47:14.100,0.5,L0P1,Not Green
109,2019-07-03 07:47:15.000,17.6,L0P1,Not Green
110,2019-07-03 07:47:59.500,0.3,L1P0,During Green
111,2019-07-03 07:48:03.800,0.3,L1P0,Not Green
112,2019-07-03 07:49:50.300,0.1,L1P0,Not Green
113,2019-07-03 07:49:51.500,0.1,L1P0,Not Green
114,2019-07-03 07:50:27.500,0.2,L1P0,Not Green
115,2019-07-03 07:51:12.300,1.1,L0P1,Not Green
116,2019-07-03 07:54:29.900,0.1,L1P0,Not Green
117,2019-07-03 07:54:30.900,0.1,L0P1,Not Green
118,2019-07-03 07:54:33.700,0.5,L1P0,Not Green
119,2019-07-03 07:54:50.400,0.1,L1P0,Not Green
120,2019-07-03 07:54:51.700,0.2,L1P0,Not Green
121,2019-07-03 07:55:26.800,0.1,L1P0,During Green
122,2019-07-03 07:55:49.700,0.1,L1P0,Not Green
123,2019-07-03 07:57:21.300,2.8,L1P0,Not Green
124,2019-07-03 07:58:20.000,0.3,L1P0,Not Green
125,2019-07-03 07:58:20.300,33.7,L0P1,Not Green
126,2019-07-03 07:58:54.000,2.5,L0P1,Not Green
127,2019-07-03 07:58:56.500,0.3,L1P0,Not Green
128,2019-07-03 08:02:21.800,0.1,L1P0,Not Green
129,2019-07-03 08:03:24.000,0.1,L1P0,Not Green
130,2019-07-03 08:03:25.200,0.1,L1P0,Not Green
131,2019-07-03 08:11:05.400,0.2,L0P1,Not Green
132,2019-07-03 08:12:50.900,0.1,L0P1,Not Green
133,2019-07-03 08:12:55.600,0.1,L1P0,Not Green
