,Start Time,Duration,Error Type,Light
62,2019-07-03 06:42:43.000,28.6,L0P1,Not Green
97,2019-07-03 07:35:22.600,15.0,L0P1,Not Green
109,2019-07-03 07:47:15.000,17.6,L0P1,Not Green
125,2019-07-03 07:58:20.300,33.7,L0P1,Not Green
141,2019-07-03 08:21:48.400,2.5,L0P1,During Green
190,2019-07-03 09:32:02.600,23.9,L0P1,During Green
237,2019-07-03 10:08:56.400,1.7,L1P0,During Green
272,2019-07-03 10:39:07.700,71.8,L0P1,Not Green
289,2019-07-03 10:57:56.100,5.5,L1P0,During Green
290,2019-07-03 10:58:29.700,28.7,L0P1,Not Green
306,2019-07-03 11:10:55.600,1.1,L0P1,During Green
336,2019-07-03 11:40:14.600,10.2,L0P1,Not Green
340,2019-07-03 11:42:40.600,6.3,L0P1,Not Green
346,2019-07-03 11:46:23.200,8.0,L0P1,Not Green
458,2019-07-03 13:19:58.200,16.8,L0P1,Not Green
538,2019-07-03 14:44:53.400,62.9,L0P1,Not Green
577,2019-07-03 15:23:30.900,9.5,L0P1,Not Green
675,2019-07-03 16:40:52.000,78.2,L0P1,Not Green
687,2019-07-03 16:57:37.600,1.1,L0P1,During Green
737,2019-07-03 17:34:40.800,69.2,L0P1,During Green
780,2019-07-03 18:20:37.000,1.1,L0P1,During Green
786,2019-07-03 18:30:43.000,1.2,L0P1,During Green
828,2019-07-03 19:15:58.000,1.3,L0P1,During Green
855,2019-07-03 19:49:26.000,6.8,L0P1,During Green
864,2019-07-03 20:04:48.600,2.0,L0P1,During Green
917,2019-07-03 21:23:52.200,10.2,L1P0,Not Green
951,2019-07-03 22:57:18.100,6.8,L0P1,During Green
974,2019-07-03 23:55:02.000,101.6,L1P0,Not Green
