,Timestamp,Event Type,Parameter
0,2019-06-12 00:00:51.200,82,VC 13/34
3,2019-06-12 00:00:52.300,81,VC 13/34
4,2019-06-12 00:01:48.400,82,VC 13/34
5,2019-06-12 00:01:58.200,81,VC 13/34
6,2019-06-12 00:02:10.200,82,VC 13/34
7,2019-06-12 00:02:26.000,81,VC 13/34
8,2019-06-12 00:02:26.100,82,VC 13/34
9,2019-06-12 00:02:26.200,81,VC 13/34
10,2019-06-12 00:03:18.400,82,VC 13/34
11,2019-06-12 00:03:19.600,81,VC 13/34
12,2019-06-12 00:07:49.600,82,VC 13/34
13,2019-06-12 00:07:51.200,81,VC 13/34
14,2019-06-12 00:18:08.400,82,VC 13/34
15,2019-06-12 00:18:28.900,81,VC 13/34
16,2019-06-12 00:23:55.600,82,VC 13/34
17,2019-06-12 00:23:56.700,81,VC 13/34
18,2019-06-12 00:31:25.200,82,VC 13/34
19,2019-06-12 00:31:26.000,81,VC 13/34
20,2019-06-12 00:31:26.100,82,VC 13/34
21,2019-06-12 00:31:26.200,81,VC 13/34
22,2019-06-12 00:33:41.000,82,VC 13/34
23,2019-06-12 00:33:48.200,81,VC 13/34
24,2019-06-12 00:33:49.200,82,VC 13/34
25,2019-06-12 00:33:51.500,81,VC 13/34
26,2019-06-12 00:45:07.200,82,VC 13/34
27,2019-06-12 00:45:08.400,81,VC 13/34
28,2019-06-12 00:45:10.700,82,VC 13/34
29,2019-06-12 00:45:11.900,81,VC 13/34
30,2019-06-12 00:47:37.200,82,VC 13/34
31,2019-06-12 00:47:38.500,81,VC 13/34
32,2019-06-12 00:51:06.000,82,VC 13/34
33,2019-06-12 00:51:07.200,81,VC 13/34
34,2019-06-12 00:54:15.400,82,VC 13/34
35,2019-06-12 00:54:16.800,81,VC 13/34
36,2019-06-12 01:10:45.300,82,VC 13/34
39,2019-06-12 01:10:46.500,81,VC 13/34
40,2019-06-12 01:35:27.600,82,VC 13/34
41,2019-06-12 01:35:29.200,81,VC 13/34
42,2019-06-12 01:47:33.400,82,VC 13/34
43,2019-06-12 01:47:34.600,81,VC 13/34
44,2019-06-12 01:49:02.900,82,VC 13/34
45,2019-06-12 01:49:08.600,81,VC 13/34
46,2019-06-12 01:56:48.100,82,VC 13/34
47,2019-06-12 01:56:49.200,81,VC 13/34
48,2019-06-12 02:02:57.200,82,VC 13/34
49,2019-06-12 02:02:58.500,81,VC 13/34
50,2019-06-12 02:03:00.000,82,VC 13/34
51,2019-06-12 02:03:01.300,81,VC 13/34
52,2019-06-12 02:05:32.300,82,VC 13/34
55,2019-06-12 02:05:33.200,81,VC 13/34
56,2019-06-12 02:35:28.700,82,VC 13/34
59,2019-06-12 02:35:30.200,81,VC 13/34
60,2019-06-12 02:35:40.900,82,VC 13/34
61,2019-06-12 02:35:42.500,81,VC 13/34
62,2019-06-12 02:36:32.000,82,VC 13/34
65,2019-06-12 02:36:32.900,81,VC 13/34
66,2019-06-12 02:36:43.400,82,VC 13/34
67,2019-06-12 02:36:44.000,81,VC 13/34
68,2019-06-12 02:36:44.100,82,VC 13/34
69,2019-06-12 02:36:44.200,81,VC 13/34
70,2019-06-12 02:43:01.800,82,VC 13/34
71,2019-06-12 02:43:03.300,81,VC 13/34
72,2019-06-12 02:46:07.700,82,VC 13/34
75,2019-06-12 02:46:08.800,81,VC 13/34
76,2019-06-12 02:54:02.200,82,VC 13/34
77,2019-06-12 02:54:03.300,81,VC 13/34
78,2019-06-12 02:56:39.100,82,VC 13/34
79,2019-06-12 02:56:40.200,81,VC 13/34
80,2019-06-12 03:01:59.200,82,VC 13/34
81,2019-06-12 03:02:00.700,81,VC 13/34
82,2019-06-12 03:08:35.700,82,VC 13/34
83,2019-06-12 03:08:36.600,81,VC 13/34
84,2019-06-12 03:30:17.200,82,VC 13/34
85,2019-06-12 03:30:18.200,81,VC 13/34
86,2019-06-12 03:35:00.800,82,VC 13/34
87,2019-06-12 03:35:02.400,81,VC 13/34
88,2019-06-12 03:57:45.200,82,VC 13/34
89,2019-06-12 03:57:46.300,81,VC 13/34
90,2019-06-12 04:01:46.800,82,VC 13/34
91,2019-06-12 04:01:47.700,81,VC 13/34
92,2019-06-12 04:16:45.000,82,VC 13/34
95,2019-06-12 04:16:45.900,81,VC 13/34
96,2019-06-12 04:18:16.000,82,VC 13/34
97,2019-06-12 04:18:17.000,81,VC 13/34
98,2019-06-12 04:36:08.700,82,VC 13/34
99,2019-06-12 04:36:12.500,81,VC 13/34
100,2019-06-12 04:36:23.900,82,VC 13/34
101,2019-06-12 04:36:25.000,81,VC 13/34
102,2019-06-12 04:36:25.100,82,VC 13/34
103,2019-06-12 04:36:25.200,81,VC 13/34
104,2019-06-12 04:36:25.600,82,VC 13/34
105,2019-06-12 04:36:26.800,81,VC 13/34
106,2019-06-12 04:36:48.600,82,VC 13/34
107,2019-06-12 04:36:54.200,81,VC 13/34
108,2019-06-12 04:39:03.500,82,VC 13/34
111,2019-06-12 04:39:04.600,81,VC 13/34
112,2019-06-12 04:41:58.800,82,VC 13/34
115,2019-06-12 04:42:19.400,81,VC 13/34
116,2019-06-12 04:45:36.400,82,VC 13/34
119,2019-06-12 04:45:49.700,81,VC 13/34
120,2019-06-12 04:48:19.600,82,VC 13/34
121,2019-06-12 04:48:35.200,81,VC 13/34
122,2019-06-12 04:49:46.700,82,VC 13/34
125,2019-06-12 04:49:47.500,81,VC 13/34
126,2019-06-12 04:50:36.000,82,VC 13/34
127,2019-06-12 04:50:37.200,81,VC 13/34
128,2019-06-12 04:50:47.200,82,VC 13/34
131,2019-06-12 04:50:48.200,81,VC 13/34
132,2019-06-12 04:52:22.800,82,VC 13/34
133,2019-06-12 04:52:23.800,81,VC 13/34
134,2019-06-12 04:55:06.700,82,VC 13/34
135,2019-06-12 04:55:08.200,81,VC 13/34
136,2019-06-12 04:56:13.500,82,VC 13/34
139,2019-06-12 04:56:14.500,81,VC 13/34
140,2019-06-12 04:57:43.200,82,VC 13/34
143,2019-06-12 04:57:44.500,81,VC 13/34
144,2019-06-12 04:58:51.200,82,VC 13/34
145,2019-06-12 04:58:53.200,81,VC 13/34
146,2019-06-12 05:04:20.500,82,VC 13/34
149,2019-06-12 05:04:21.500,81,VC 13/34
150,2019-06-12 05:04:23.700,82,VC 13/34
151,2019-06-12 05:04:24.600,81,VC 13/34
152,2019-06-12 05:04:32.500,82,VC 13/34
155,2019-06-12 05:04:33.700,81,VC 13/34
156,2019-06-12 05:07:37.000,82,VC 13/34
159,2019-06-12 05:07:37.900,81,VC 13/34
160,2019-06-12 05:08:18.200,82,VC 13/34
161,2019-06-12 05:08:18.400,81,VC 13/34
162,2019-06-12 05:08:18.500,82,VC 13/34
163,2019-06-12 05:08:18.600,81,VC 13/34
164,2019-06-12 05:08:18.700,82,VC 13/34
165,2019-06-12 05:08:18.800,81,VC 13/34
166,2019-06-12 05:08:18.900,82,VC 13/34
167,2019-06-12 05:08:19.100,81,VC 13/34
168,2019-06-12 05:08:19.900,82,VC 13/34
169,2019-06-12 05:08:20.900,81,VC 13/34
170,2019-06-12 05:09:52.000,82,VC 13/34
171,2019-06-12 05:09:52.800,81,VC 13/34
172,2019-06-12 05:10:22.000,82,VC 13/34
175,2019-06-12 05:10:22.900,81,VC 13/34
176,2019-06-12 05:11:13.400,82,VC 13/34
179,2019-06-12 05:11:14.700,81,VC 13/34
180,2019-06-12 05:11:31.900,82,VC 13/34
181,2019-06-12 05:11:32.800,81,VC 13/34
182,2019-06-12 05:12:05.600,82,VC 13/34
183,2019-06-12 05:12:06.600,81,VC 13/34
184,2019-06-12 05:12:13.600,82,VC 13/34
187,2019-06-12 05:12:14.500,81,VC 13/34
188,2019-06-12 05:14:14.300,82,VC 13/34
189,2019-06-12 05:14:15.400,81,VC 13/34
190,2019-06-12 05:14:26.000,82,VC 13/34
191,2019-06-12 05:14:27.000,81,VC 13/34
192,2019-06-12 05:14:27.100,82,VC 13/34
193,2019-06-12 05:14:27.200,81,VC 13/34
194,2019-06-12 05:14:48.900,82,VC 13/34
195,2019-06-12 05:14:52.900,81,VC 13/34
196,2019-06-12 05:16:22.000,82,VC 13/34
197,2019-06-12 05:16:23.200,81,VC 13/34
198,2019-06-12 05:17:01.200,82,VC 13/34
201,2019-06-12 05:17:02.200,81,VC 13/34
202,2019-06-12 05:18:33.200,82,VC 13/34
203,2019-06-12 05:18:34.200,81,VC 13/34
204,2019-06-12 05:19:41.200,82,VC 13/34
207,2019-06-12 05:19:42.200,81,VC 13/34
208,2019-06-12 05:23:08.900,82,VC 13/34
211,2019-06-12 05:23:09.800,81,VC 13/34
212,2019-06-12 05:23:10.300,82,VC 13/34
215,2019-06-12 05:23:11.200,81,VC 13/34
216,2019-06-12 05:23:28.700,82,VC 13/34
217,2019-06-12 05:23:29.300,81,VC 13/34
218,2019-06-12 05:23:29.400,82,VC 13/34
219,2019-06-12 05:23:29.600,81,VC 13/34
220,2019-06-12 05:25:52.400,82,VC 13/34
223,2019-06-12 05:25:53.300,81,VC 13/34
224,2019-06-12 05:27:08.400,82,VC 13/34
225,2019-06-12 05:27:09.200,81,VC 13/34
226,2019-06-12 05:27:09.300,82,VC 13/34
227,2019-06-12 05:27:09.500,81,VC 13/34
228,2019-06-12 05:27:34.900,82,VC 13/34
229,2019-06-12 05:27:36.000,81,VC 13/34
230,2019-06-12 05:27:36.100,82,VC 13/34
231,2019-06-12 05:27:36.200,81,VC 13/34
232,2019-06-12 05:29:38.000,82,VC 13/34
233,2019-06-12 05:29:51.200,81,VC 13/34
234,2019-06-12 05:30:30.300,82,VC 13/34
235,2019-06-12 05:30:31.300,81,VC 13/34
236,2019-06-12 05:30:40.600,82,VC 13/34
239,2019-06-12 05:30:41.500,81,VC 13/34
240,2019-06-12 05:32:14.300,82,VC 13/34
245,2019-06-12 05:32:16.600,81,VC 13/34
246,2019-06-12 05:32:47.600,82,VC 13/34
247,2019-06-12 05:32:48.600,81,VC 13/34
248,2019-06-12 05:34:27.000,82,VC 13/34
251,2019-06-12 05:34:28.000,81,VC 13/34
252,2019-06-12 05:35:33.400,82,VC 13/34
255,2019-06-12 05:35:34.400,81,VC 13/34
256,2019-06-12 05:36:24.900,82,VC 13/34
257,2019-06-12 05:36:25.900,81,VC 13/34
258,2019-06-12 05:36:59.600,82,VC 13/34
259,2019-06-12 05:37:00.500,81,VC 13/34
260,2019-06-12 05:37:14.200,82,VC 13/34
263,2019-06-12 05:37:15.200,81,VC 13/34
264,2019-06-12 05:37:15.900,82,VC 13/34
265,2019-06-12 05:37:17.000,81,VC 13/34
