,Timestamp,Event Type,Parameter
0,2019-07-03 00:04:17.000,82,1736
1,2019-07-03 00:04:19.000,81,1736
2,2019-07-03 00:27:34.200,82,1736
3,2019-07-03 00:27:36.100,81,1736
4,2019-07-03 01:24:45.700,82,1736
7,2019-07-03 01:24:47.600,81,1736
8,2019-07-03 01:31:23.100,82,1736
11,2019-07-03 01:31:25.200,81,1736
12,2019-07-03 02:19:45.500,82,1736
15,2019-07-03 02:19:47.900,81,1736
16,2019-07-03 03:27:13.300,82,1736
17,2019-07-03 03:27:15.200,81,1736
18,2019-07-03 03:38:20.800,82,1736
19,2019-07-03 03:38:23.200,81,1736
20,2019-07-03 03:47:55.100,82,1736
23,2019-07-03 03:48:02.300,81,1736
24,2019-07-03 03:49:40.900,82,1736
25,2019-07-03 03:49:43.500,81,1736
26,2019-07-03 03:52:44.400,82,1736
27,2019-07-03 03:52:46.600,81,1736
28,2019-07-03 04:03:44.800,82,1736
31,2019-07-03 04:03:46.700,81,1736
32,2019-07-03 04:37:23.600,82,1736
33,2019-07-03 04:37:25.500,81,1736
34,2019-07-03 04:42:01.400,82,1736
37,2019-07-03 04:42:03.600,81,1736
38,2019-07-03 04:42:09.600,82,1736
41,2019-07-03 04:42:11.300,81,1736
42,2019-07-03 04:54:13.600,82,1736
43,2019-07-03 04:54:15.400,81,1736
44,2019-07-03 05:01:42.700,82,1736
45,2019-07-03 05:01:45.900,81,1736
46,2019-07-03 05:24:40.000,82,1736
47,2019-07-03 05:24:42.300,81,1736
48,2019-07-03 05:30:04.600,82,1736
51,2019-07-03 05:30:06.400,81,1736
52,2019-07-03 05:30:06.500,82,1736
53,2019-07-03 05:30:06.600,81,1736
54,2019-07-03 05:30:28.700,82,1736
55,2019-07-03 05:30:30.800,81,1736
56,2019-07-03 05:31:03.300,82,1736
59,2019-07-03 05:31:05.100,81,1736
60,2019-07-03 05:32:28.100,82,1736
63,2019-07-03 05:32:30.200,81,1736
64,2019-07-03 05:40:13.600,82,1736
65,2019-07-03 05:40:15.900,81,1736
66,2019-07-03 05:41:08.800,82,1736
69,2019-07-03 05:41:10.600,81,1736
70,2019-07-03 05:46:33.600,82,1736
71,2019-07-03 05:46:35.600,81,1736
72,2019-07-03 06:00:31.300,82,1736
73,2019-07-03 06:00:33.400,81,1736
74,2019-07-03 06:08:21.400,82,1736
75,2019-07-03 06:08:24.200,81,1736
76,2019-07-03 06:09:09.600,82,1736
77,2019-07-03 06:09:11.500,81,1736
78,2019-07-03 06:09:52.000,82,1736
79,2019-07-03 06:09:54.400,81,1736
80,2019-07-03 06:09:54.500,82,1736
81,2019-07-03 06:09:54.600,81,1736
82,2019-07-03 06:11:36.400,82,1736
83,2019-07-03 06:11:38.600,81,1736
84,2019-07-03 06:13:46.800,82,1736
87,2019-07-03 06:13:48.900,81,1736
88,2019-07-03 06:17:31.200,82,1736
89,2019-07-03 06:17:33.200,81,1736
90,2019-07-03 06:18:08.800,82,1736
91,2019-07-03 06:18:10.700,81,1736
92,2019-07-03 06:20:25.300,82,1736
93,2019-07-03 06:20:27.300,81,1736
94,2019-07-03 06:23:17.200,82,1736
95,2019-07-03 06:23:31.600,81,1736
96,2019-07-03 06:27:12.200,82,1736
99,2019-07-03 06:27:14.400,81,1736
100,2019-07-03 06:27:14.500,82,1736
101,2019-07-03 06:27:14.600,81,1736
102,2019-07-03 06:28:02.600,82,1736
105,2019-07-03 06:28:04.600,81,1736
106,2019-07-03 06:31:05.600,82,1736
109,2019-07-03 06:31:07.600,81,1736
110,2019-07-03 06:31:55.900,82,1736
111,2019-07-03 06:31:57.600,81,1736
112,2019-07-03 06:32:12.100,82,1736
113,2019-07-03 06:32:17.400,81,1736
114,2019-07-03 06:32:17.500,82,1736
115,2019-07-03 06:32:17.600,81,1736
116,2019-07-03 06:32:19.600,82,1736
117,2019-07-03 06:32:22.600,81,1736
118,2019-07-03 06:32:24.000,82,1736
119,2019-07-03 06:32:29.400,81,1736
120,2019-07-03 06:34:58.300,82,1736
123,2019-07-03 06:35:00.300,81,1736
124,2019-07-03 06:36:52.300,82,1736
125,2019-07-03 06:36:55.100,81,1736
126,2019-07-03 06:41:00.500,82,1736
127,2019-07-03 06:41:02.400,81,1736
128,2019-07-03 06:41:02.500,82,1736
129,2019-07-03 06:41:02.600,81,1736
130,2019-07-03 06:46:30.000,82,1736
131,2019-07-03 06:46:31.800,81,1736
132,2019-07-03 06:48:24.400,82,1736
133,2019-07-03 06:48:26.200,81,1736
134,2019-07-03 06:49:13.900,82,1736
137,2019-07-03 06:49:15.600,81,1736
138,2019-07-03 06:51:11.300,82,1736
139,2019-07-03 06:51:13.200,81,1736
140,2019-07-03 06:55:22.100,82,1736
141,2019-07-03 06:55:24.000,81,1736
142,2019-07-03 06:55:24.100,82,1736
143,2019-07-03 06:55:26.300,81,1736
144,2019-07-03 07:00:03.800,82,1736
145,2019-07-03 07:00:05.700,81,1736
146,2019-07-03 07:02:38.200,82,1736
149,2019-07-03 07:02:40.000,81,1736
150,2019-07-03 07:06:07.000,82,1736
151,2019-07-03 07:06:09.500,81,1736
152,2019-07-03 07:06:10.100,82,1736
153,2019-07-03 07:06:19.400,81,1736
154,2019-07-03 07:06:19.500,82,1736
155,2019-07-03 07:06:19.600,81,1736
156,2019-07-03 07:06:38.900,82,1736
157,2019-07-03 07:06:40.600,81,1736
158,2019-07-03 07:14:23.700,82,1736
159,2019-07-03 07:14:25.700,81,1736
160,2019-07-03 07:15:11.300,82,1736
161,2019-07-03 07:15:17.400,81,1736
162,2019-07-03 07:15:17.500,82,1736
163,2019-07-03 07:15:17.600,81,1736
164,2019-07-03 07:15:36.100,82,1736
165,2019-07-03 07:15:37.900,81,1736
166,2019-07-03 07:18:33.600,82,1736
167,2019-07-03 07:18:36.400,81,1736
168,2019-07-03 07:18:36.500,82,1736
169,2019-07-03 07:18:36.600,81,1736
170,2019-07-03 07:18:59.900,82,1736
171,2019-07-03 07:19:01.400,81,1736
172,2019-07-03 07:19:01.500,82,1736
173,2019-07-03 07:19:01.600,81,1736
174,2019-07-03 07:19:49.000,82,1736
175,2019-07-03 07:19:52.600,81,1736
176,2019-07-03 07:21:20.700,82,1736
179,2019-07-03 07:21:22.900,81,1736
180,2019-07-03 07:21:23.700,82,1736
181,2019-07-03 07:21:26.200,81,1736
182,2019-07-03 07:23:22.600,82,1736
183,2019-07-03 07:23:25.600,81,1736
184,2019-07-03 07:25:16.400,82,1736
187,2019-07-03 07:25:18.400,81,1736
188,2019-07-03 07:25:18.500,82,1736
189,2019-07-03 07:25:18.600,81,1736
190,2019-07-03 07:25:42.600,82,1736
191,2019-07-03 07:25:44.600,81,1736
192,2019-07-03 07:30:51.700,82,1736
193,2019-07-03 07:30:53.600,81,1736
194,2019-07-03 07:37:44.500,82,1736
195,2019-07-03 07:37:46.200,81,1736
196,2019-07-03 07:40:20.200,82,1736
197,2019-07-03 07:40:22.300,81,1736
198,2019-07-03 07:40:34.000,82,1736
201,2019-07-03 07:40:35.600,81,1736
202,2019-07-03 07:40:42.200,82,1736
205,2019-07-03 07:40:43.800,81,1736
206,2019-07-03 07:41:30.900,82,1736
209,2019-07-03 07:41:48.800,81,1736
210,2019-07-03 07:41:49.700,82,1736
211,2019-07-03 07:41:53.600,81,1736
212,2019-07-03 07:47:24.600,82,1736
213,2019-07-03 07:47:26.600,81,1736
214,2019-07-03 07:49:15.500,82,1736
215,2019-07-03 07:49:19.100,81,1736
216,2019-07-03 07:51:10.700,82,1736
217,2019-07-03 07:51:12.700,81,1736
218,2019-07-03 07:54:50.100,82,1736
219,2019-07-03 07:54:52.300,81,1736
220,2019-07-03 07:58:16.700,82,1736
221,2019-07-03 07:58:19.600,81,1736
222,2019-07-03 08:02:24.600,82,1736
223,2019-07-03 08:02:26.600,81,1736
224,2019-07-03 08:02:34.200,82,1736
225,2019-07-03 08:02:36.400,81,1736
226,2019-07-03 08:02:36.500,82,1736
227,2019-07-03 08:02:36.600,81,1736
228,2019-07-03 08:08:28.600,82,1736
229,2019-07-03 08:08:30.300,81,1736
230,2019-07-03 08:10:30.000,82,1736
231,2019-07-03 08:10:32.600,81,1736
232,2019-07-03 08:12:25.200,82,1736
233,2019-07-03 08:12:27.400,81,1736
234,2019-07-03 08:18:40.600,82,1736
237,2019-07-03 08:18:42.600,81,1736
238,2019-07-03 08:19:26.100,82,1736
239,2019-07-03 08:19:27.800,81,1736
240,2019-07-03 08:21:21.200,82,1736
241,2019-07-03 08:21:50.600,81,1736
242,2019-07-03 08:26:31.900,82,1736
245,2019-07-03 08:26:41.600,81,1736
246,2019-07-03 08:29:00.800,82,1736
247,2019-07-03 08:29:04.200,81,1736
248,2019-07-03 08:29:35.200,82,1736
251,2019-07-03 08:29:37.300,81,1736
252,2019-07-03 08:31:12.400,82,1736
253,2019-07-03 08:31:14.600,81,1736
254,2019-07-03 08:31:33.900,82,1736
255,2019-07-03 08:31:37.100,81,1736
256,2019-07-03 08:31:42.700,82,1736
257,2019-07-03 08:31:44.600,81,1736
258,2019-07-03 08:34:30.600,82,1736
259,2019-07-03 08:34:33.200,81,1736
260,2019-07-03 08:36:07.600,82,1736
261,2019-07-03 08:36:08.800,81,1736
262,2019-07-03 08:36:08.900,82,1736
263,2019-07-03 08:36:09.400,81,1736
264,2019-07-03 08:37:02.400,82,1736
267,2019-07-03 08:37:04.400,81,1736
268,2019-07-03 08:37:04.500,82,1736
269,2019-07-03 08:37:04.600,81,1736
270,2019-07-03 08:37:28.200,82,1736
271,2019-07-03 08:37:30.200,81,1736
272,2019-07-03 08:38:06.200,82,1736
273,2019-07-03 08:38:15.200,81,1736
274,2019-07-03 08:38:39.600,82,1736
275,2019-07-03 08:38:41.700,81,1736
276,2019-07-03 08:39:36.000,82,1736
277,2019-07-03 08:39:40.400,81,1736
278,2019-07-03 08:40:00.200,82,1736
279,2019-07-03 08:40:06.200,81,1736
280,2019-07-03 08:40:36.400,82,1736
281,2019-07-03 08:40:38.600,81,1736
282,2019-07-03 08:40:44.100,82,1736
283,2019-07-03 08:40:46.400,81,1736
284,2019-07-03 08:40:46.500,82,1736
285,2019-07-03 08:40:46.600,81,1736
286,2019-07-03 08:42:36.100,82,1736
287,2019-07-03 08:42:39.100,81,1736
288,2019-07-03 08:44:07.400,82,1736
289,2019-07-03 08:44:16.200,81,1736
290,2019-07-03 08:45:31.800,82,1736
291,2019-07-03 08:45:33.600,81,1736
292,2019-07-03 08:49:22.900,82,1736
293,2019-07-03 08:49:25.400,81,1736
294,2019-07-03 08:49:26.600,82,1736
297,2019-07-03 08:49:28.600,81,1736
298,2019-07-03 08:50:53.500,82,1736
299,2019-07-03 08:50:59.000,81,1736
300,2019-07-03 08:53:49.700,82,1736
301,2019-07-03 08:53:52.600,81,1736
302,2019-07-03 08:55:00.600,82,1736
305,2019-07-03 08:55:16.600,81,1736
306,2019-07-03 08:55:38.900,82,1736
307,2019-07-03 08:55:40.000,81,1736
308,2019-07-03 08:55:40.100,82,1736
309,2019-07-03 08:55:40.600,81,1736
310,2019-07-03 08:58:28.100,82,1736
311,2019-07-03 08:58:37.600,81,1736
312,2019-07-03 08:59:18.100,82,1736
317,2019-07-03 08:59:25.700,81,1736
318,2019-07-03 09:00:40.700,82,1736
321,2019-07-03 09:00:42.500,81,1736
322,2019-07-03 09:16:40.400,82,1736
323,2019-07-03 09:16:44.900,81,1736
324,2019-07-03 09:27:07.600,82,1736
325,2019-07-03 09:27:09.800,81,1736
326,2019-07-03 09:27:18.600,82,1736
327,2019-07-03 09:27:28.400,81,1736
328,2019-07-03 09:27:28.500,82,1736
329,2019-07-03 09:27:28.600,81,1736
330,2019-07-03 09:28:34.400,82,1736
331,2019-07-03 09:28:37.600,81,1736
332,2019-07-03 09:31:17.000,82,1736
335,2019-07-03 09:31:18.600,81,1736
336,2019-07-03 09:32:11.800,82,1736
341,2019-07-03 09:32:26.900,81,1736
342,2019-07-03 09:34:51.400,82,1736
343,2019-07-03 09:34:53.600,81,1736
344,2019-07-03 09:36:39.300,82,1736
345,2019-07-03 09:36:46.200,81,1736
346,2019-07-03 09:39:17.300,82,1736
347,2019-07-03 09:39:20.000,81,1736
348,2019-07-03 09:40:53.200,82,1736
349,2019-07-03 09:40:58.600,81,1736
350,2019-07-03 09:41:05.000,82,1736
351,2019-07-03 09:41:09.300,81,1736
352,2019-07-03 09:41:55.600,82,1736
353,2019-07-03 09:41:56.900,81,1736
354,2019-07-03 09:41:57.000,82,1736
355,2019-07-03 09:41:57.400,81,1736
356,2019-07-03 09:42:14.200,82,1736
357,2019-07-03 09:42:16.200,81,1736
358,2019-07-03 09:42:32.000,82,1736
359,2019-07-03 09:42:37.200,81,1736
360,2019-07-03 09:44:03.900,82,1736
361,2019-07-03 09:44:07.300,81,1736
362,2019-07-03 09:44:32.700,82,1736
363,2019-07-03 09:44:34.900,81,1736
364,2019-07-03 09:45:26.200,82,1736
365,2019-07-03 09:45:29.200,81,1736
366,2019-07-03 09:45:29.900,82,1736
369,2019-07-03 09:45:41.700,81,1736
370,2019-07-03 09:47:25.600,82,1736
371,2019-07-03 09:47:29.800,81,1736
372,2019-07-03 09:47:50.900,82,1736
373,2019-07-03 09:47:52.800,81,1736
374,2019-07-03 09:48:45.300,82,1736
375,2019-07-03 09:48:48.100,81,1736
376,2019-07-03 09:48:49.300,82,1736
377,2019-07-03 09:49:03.000,81,1736
378,2019-07-03 09:49:10.100,82,1736
379,2019-07-03 09:49:12.300,81,1736
380,2019-07-03 09:51:25.900,82,1736
383,2019-07-03 09:51:27.600,81,1736
384,2019-07-03 09:53:27.600,82,1736
385,2019-07-03 09:53:46.600,81,1736
386,2019-07-03 09:54:00.400,82,1736
387,2019-07-03 09:54:02.900,81,1736
388,2019-07-03 09:57:11.400,82,1736
391,2019-07-03 09:57:13.600,81,1736
392,2019-07-03 09:57:14.900,82,1736
393,2019-07-03 09:57:16.700,81,1736
394,2019-07-03 09:57:29.600,82,1736
395,2019-07-03 09:57:31.200,81,1736
396,2019-07-03 09:57:32.200,82,1736
399,2019-07-03 09:57:34.100,81,1736
400,2019-07-03 09:57:43.700,82,1736
401,2019-07-03 09:57:47.200,81,1736
402,2019-07-03 09:59:46.600,82,1736
405,2019-07-03 09:59:49.800,81,1736
406,2019-07-03 10:01:05.800,82,1736
407,2019-07-03 10:01:08.900,81,1736
408,2019-07-03 10:01:52.700,82,1736
409,2019-07-03 10:01:54.700,81,1736
410,2019-07-03 10:03:42.200,82,1736
413,2019-07-03 10:03:43.800,81,1736
414,2019-07-03 10:05:16.300,82,1736
415,2019-07-03 10:05:18.300,81,1736
416,2019-07-03 10:06:05.400,82,1736
419,2019-07-03 10:06:07.600,81,1736
420,2019-07-03 10:08:00.300,82,1736
423,2019-07-03 10:08:03.900,81,1736
424,2019-07-03 10:09:00.700,82,1736
425,2019-07-03 10:09:02.600,81,1736
426,2019-07-03 10:09:48.400,82,1736
427,2019-07-03 10:09:50.700,81,1736
428,2019-07-03 10:10:38.700,82,1736
429,2019-07-03 10:10:42.200,81,1736
430,2019-07-03 10:11:02.300,82,1736
431,2019-07-03 10:11:04.400,81,1736
432,2019-07-03 10:11:04.500,82,1736
433,2019-07-03 10:11:04.600,81,1736
434,2019-07-03 10:11:15.000,82,1736
435,2019-07-03 10:11:17.200,81,1736
436,2019-07-03 10:11:23.600,82,1736
437,2019-07-03 10:11:25.400,81,1736
438,2019-07-03 10:11:25.500,82,1736
439,2019-07-03 10:11:25.600,81,1736
440,2019-07-03 10:11:31.100,82,1736
441,2019-07-03 10:11:33.500,81,1736
442,2019-07-03 10:11:35.100,82,1736
445,2019-07-03 10:11:49.600,81,1736
446,2019-07-03 10:13:42.800,82,1736
447,2019-07-03 10:13:45.800,81,1736
448,2019-07-03 10:13:50.000,82,1736
449,2019-07-03 10:14:07.300,81,1736
450,2019-07-03 10:16:48.400,82,1736
451,2019-07-03 10:16:50.300,81,1736
452,2019-07-03 10:18:38.600,82,1736
453,2019-07-03 10:18:40.300,81,1736
454,2019-07-03 10:19:24.600,82,1736
455,2019-07-03 10:19:30.900,81,1736
456,2019-07-03 10:20:02.800,82,1736
457,2019-07-03 10:20:04.100,81,1736
458,2019-07-03 10:20:04.400,82,1736
461,2019-07-03 10:20:06.400,81,1736
462,2019-07-03 10:20:06.500,82,1736
463,2019-07-03 10:20:06.600,81,1736
464,2019-07-03 10:21:59.600,82,1736
465,2019-07-03 10:22:01.600,81,1736
466,2019-07-03 10:23:57.800,82,1736
467,2019-07-03 10:23:59.600,81,1736
468,2019-07-03 10:24:14.800,82,1736
471,2019-07-03 10:24:17.300,81,1736
472,2019-07-03 10:24:22.300,82,1736
473,2019-07-03 10:24:28.700,81,1736
474,2019-07-03 10:25:08.900,82,1736
477,2019-07-03 10:25:12.100,81,1736
478,2019-07-03 10:25:21.300,82,1736
479,2019-07-03 10:25:26.500,81,1736
480,2019-07-03 10:25:43.000,82,1736
481,2019-07-03 10:25:45.000,81,1736
482,2019-07-03 10:27:50.900,82,1736
485,2019-07-03 10:27:54.600,81,1736
486,2019-07-03 10:28:44.000,82,1736
489,2019-07-03 10:28:46.300,81,1736
490,2019-07-03 10:28:54.000,82,1736
491,2019-07-03 10:28:56.600,81,1736
492,2019-07-03 10:31:11.100,82,1736
493,2019-07-03 10:31:13.800,81,1736
494,2019-07-03 10:31:27.400,82,1736
495,2019-07-03 10:31:29.700,81,1736
496,2019-07-03 10:33:36.000,82,1736
497,2019-07-03 10:33:38.800,81,1736
498,2019-07-03 10:36:12.400,82,1736
499,2019-07-03 10:36:15.200,81,1736
500,2019-07-03 10:36:15.500,82,1736
501,2019-07-03 10:36:21.500,81,1736
502,2019-07-03 10:38:11.600,82,1736
503,2019-07-03 10:38:13.600,81,1736
504,2019-07-03 10:39:03.800,82,1736
507,2019-07-03 10:39:15.000,81,1736
508,2019-07-03 10:40:41.800,82,1736
509,2019-07-03 10:40:43.900,81,1736
510,2019-07-03 10:42:20.200,82,1736
513,2019-07-03 10:42:22.300,81,1736
514,2019-07-03 10:43:26.700,82,1736
515,2019-07-03 10:43:28.600,81,1736
516,2019-07-03 10:44:55.200,82,1736
519,2019-07-03 10:44:57.600,81,1736
520,2019-07-03 10:50:03.100,82,1736
521,2019-07-03 10:50:06.000,81,1736
522,2019-07-03 10:50:28.200,82,1736
523,2019-07-03 10:50:36.100,81,1736
524,2019-07-03 10:50:39.400,82,1736
525,2019-07-03 10:50:43.200,81,1736
526,2019-07-03 10:50:56.100,82,1736
527,2019-07-03 10:50:57.600,81,1736
528,2019-07-03 10:53:55.800,82,1736
529,2019-07-03 10:53:59.600,81,1736
530,2019-07-03 10:56:05.200,82,1736
531,2019-07-03 10:56:08.700,81,1736
532,2019-07-03 10:57:57.600,82,1736
533,2019-07-03 10:58:01.600,81,1736
534,2019-07-03 10:58:35.600,82,1736
535,2019-07-03 10:58:37.500,81,1736
536,2019-07-03 10:58:50.000,82,1736
539,2019-07-03 10:58:51.900,81,1736
540,2019-07-03 10:59:40.400,82,1736
541,2019-07-03 10:59:47.400,81,1736
542,2019-07-03 11:00:08.900,82,1736
545,2019-07-03 11:00:10.800,81,1736
546,2019-07-03 11:00:31.900,82,1736
547,2019-07-03 11:00:34.100,81,1736
548,2019-07-03 11:01:01.400,82,1736
549,2019-07-03 11:01:04.000,81,1736
550,2019-07-03 11:01:42.200,82,1736
553,2019-07-03 11:01:44.600,81,1736
554,2019-07-03 11:01:57.900,82,1736
557,2019-07-03 11:02:02.400,81,1736
558,2019-07-03 11:02:05.900,82,1736
561,2019-07-03 11:02:10.000,81,1736
562,2019-07-03 11:05:05.600,82,1736
563,2019-07-03 11:05:33.200,81,1736
564,2019-07-03 11:07:00.800,82,1736
565,2019-07-03 11:07:03.600,81,1736
566,2019-07-03 11:07:23.400,82,1736
569,2019-07-03 11:07:26.200,81,1736
570,2019-07-03 11:07:27.100,82,1736
571,2019-07-03 11:07:31.800,81,1736
572,2019-07-03 11:07:32.700,82,1736
575,2019-07-03 11:07:36.800,81,1736
576,2019-07-03 11:08:29.600,82,1736
577,2019-07-03 11:08:33.600,81,1736
578,2019-07-03 11:09:38.100,82,1736
579,2019-07-03 11:09:40.300,81,1736
580,2019-07-03 11:11:46.800,82,1736
