,Timestamp,Event Type,Parameter
0,2019-07-03 00:04:17.000,82,VC 17/36
1,2019-07-03 00:04:19.000,81,VC 17/36
2,2019-07-03 00:27:34.200,82,VC 17/36
3,2019-07-03 00:27:36.100,81,VC 17/36
4,2019-07-03 01:24:45.700,82,VC 17/36
7,2019-07-03 01:24:47.600,81,VC 17/36
8,2019-07-03 01:31:23.100,82,VC 17/36
11,2019-07-03 01:31:25.200,81,VC 17/36
12,2019-07-03 02:19:45.500,82,VC 17/36
15,2019-07-03 02:19:47.900,81,VC 17/36
16,2019-07-03 03:27:13.300,82,VC 17/36
17,2019-07-03 03:27:15.200,81,VC 17/36
18,2019-07-03 03:38:20.800,82,VC 17/36
19,2019-07-03 03:38:23.200,81,VC 17/36
20,2019-07-03 03:47:55.100,82,VC 17/36
23,2019-07-03 03:48:02.300,81,VC 17/36
24,2019-07-03 03:49:40.900,82,VC 17/36
25,2019-07-03 03:49:43.500,81,VC 17/36
26,2019-07-03 03:52:44.400,82,VC 17/36
27,2019-07-03 03:52:46.600,81,VC 17/36
28,2019-07-03 04:03:44.800,82,VC 17/36
31,2019-07-03 04:03:46.700,81,VC 17/36
32,2019-07-03 04:37:23.600,82,VC 17/36
33,2019-07-03 04:37:25.500,81,VC 17/36
34,2019-07-03 04:42:01.400,82,VC 17/36
37,2019-07-03 04:42:03.600,81,VC 17/36
38,2019-07-03 04:42:09.600,82,VC 17/36
41,2019-07-03 04:42:11.300,81,VC 17/36
42,2019-07-03 04:54:13.600,82,VC 17/36
43,2019-07-03 04:54:15.400,81,VC 17/36
44,2019-07-03 05:01:42.700,82,VC 17/36
45,2019-07-03 05:01:45.900,81,VC 17/36
46,2019-07-03 05:24:40.000,82,VC 17/36
47,2019-07-03 05:24:42.300,81,VC 17/36
48,2019-07-03 05:30:04.600,82,VC 17/36
51,2019-07-03 05:30:06.400,81,VC 17/36
52,2019-07-03 05:30:06.500,82,VC 17/36
53,2019-07-03 05:30:06.600,81,VC 17/36
